"Position","Track","Artist","Streams","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","uri","track_href","analysis_url","duration_ms","time_signature"
"1","rockstar","Post Malone","17532665","7wGoVu4Dady5GV0Sv4UIsx",0.577,0.522,5,-6.594,0,0.0984,0.13,9.03e-05,0.142,0.119,159.772,"audio_features","spotify:track:7wGoVu4Dady5GV0Sv4UIsx","https://api.spotify.com/v1/tracks/7wGoVu4Dady5GV0Sv4UIsx","https://api.spotify.com/v1/audio-analysis/7wGoVu4Dady5GV0Sv4UIsx",218320,4
"2","I Fall Apart","Post Malone","8350785","75ZvA4QfFiZvzhj2xkaWAh",0.556,0.538,8,-5.408,0,0.0382,0.0689,0,0.196,0.291,143.95,"audio_features","spotify:track:75ZvA4QfFiZvzhj2xkaWAh","https://api.spotify.com/v1/tracks/75ZvA4QfFiZvzhj2xkaWAh","https://api.spotify.com/v1/audio-analysis/75ZvA4QfFiZvzhj2xkaWAh",223347,4
"3","Bank Account","21 Savage","7589124","2fQrGHiQOvpL9UgPvtYy6G",0.884,0.346,8,-8.228,0,0.351,0.0151,7.04e-06,0.0871,0.376,75.016,"audio_features","spotify:track:2fQrGHiQOvpL9UgPvtYy6G","https://api.spotify.com/v1/tracks/2fQrGHiQOvpL9UgPvtYy6G","https://api.spotify.com/v1/audio-analysis/2fQrGHiQOvpL9UgPvtYy6G",220307,4
"4","Gucci Gang","Lil Pump","7584237","43ZyHQITOjhciSUUNPVRHc",0.936,0.523,5,-6.71,1,0.0597,0.239,0,0.117,0.699,119.889,"audio_features","spotify:track:43ZyHQITOjhciSUUNPVRHc","https://api.spotify.com/v1/tracks/43ZyHQITOjhciSUUNPVRHc","https://api.spotify.com/v1/audio-analysis/43ZyHQITOjhciSUUNPVRHc",124056,4
"5","1-800-273-8255","Logic","7527770","5tz69p7tJuGPeMGwNTxYuV",0.62,0.574,5,-7.788,0,0.0479,0.57,0,0.19,0.352,100.021,"audio_features","spotify:track:5tz69p7tJuGPeMGwNTxYuV","https://api.spotify.com/v1/tracks/5tz69p7tJuGPeMGwNTxYuV","https://api.spotify.com/v1/audio-analysis/5tz69p7tJuGPeMGwNTxYuV",250173,4
"6","Gorgeous","Taylor Swift","6940802","5Gd19NupVe5X8bAqxf9Iaz",0.791,0.529,7,-6.87,1,0.175,0.0652,1.25e-05,0.218,0.428,91.981,"audio_features","spotify:track:5Gd19NupVe5X8bAqxf9Iaz","https://api.spotify.com/v1/tracks/5Gd19NupVe5X8bAqxf9Iaz","https://api.spotify.com/v1/audio-analysis/5Gd19NupVe5X8bAqxf9Iaz",209680,4
"7","Havana","Camila Cabello","6623184","0ofbQMrRDsUaVKq2mGLEAb",0.768,0.517,7,-4.323,0,0.0312,0.186,3.8e-05,0.104,0.418,104.992,"audio_features","spotify:track:0ofbQMrRDsUaVKq2mGLEAb","https://api.spotify.com/v1/tracks/0ofbQMrRDsUaVKq2mGLEAb","https://api.spotify.com/v1/audio-analysis/0ofbQMrRDsUaVKq2mGLEAb",216897,4
"8","Bodak Yellow","Cardi B","6472727","2771LMNxwf62FTAdpJMQfM",0.929,0.723,11,-5.792,0,0.109,0.0672,0,0.346,0.458,125.022,"audio_features","spotify:track:2771LMNxwf62FTAdpJMQfM","https://api.spotify.com/v1/tracks/2771LMNxwf62FTAdpJMQfM","https://api.spotify.com/v1/audio-analysis/2771LMNxwf62FTAdpJMQfM",223962,4
"9","Young Dumb & Broke","Khalid","5982108","5Z3GHaZ6ec9bsiI5BenrbY",0.798,0.539,1,-6.351,1,0.0421,0.199,1.66e-05,0.165,0.394,136.949,"audio_features","spotify:track:5Z3GHaZ6ec9bsiI5BenrbY","https://api.spotify.com/v1/tracks/5Z3GHaZ6ec9bsiI5BenrbY","https://api.spotify.com/v1/audio-analysis/5Z3GHaZ6ec9bsiI5BenrbY",202547,4
"10","XO TOUR Llif3","Lil Uzi Vert","5822583","7GX5flRQZVHRAGd6B4TmDO",0.732,0.75,11,-6.366,0,0.231,0.00264,0,0.109,0.401,155.096,"audio_features","spotify:track:7GX5flRQZVHRAGd6B4TmDO","https://api.spotify.com/v1/tracks/7GX5flRQZVHRAGd6B4TmDO","https://api.spotify.com/v1/audio-analysis/7GX5flRQZVHRAGd6B4TmDO",182707,4
