"Position","Track","Artist","Streams","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","uri","track_href","analysis_url","duration_ms","time_signature"
"1","rockstar","Post Malone","3727123","1OmcAT5Y8eg5bUPv9qJT4R",0.58,0.531,5,-6.631,0,0.0776,0.128,0.000127,0.143,0.141,159.786,"audio_features","spotify:track:1OmcAT5Y8eg5bUPv9qJT4R","https://api.spotify.com/v1/tracks/1OmcAT5Y8eg5bUPv9qJT4R","https://api.spotify.com/v1/audio-analysis/1OmcAT5Y8eg5bUPv9qJT4R",218320,4
"2","New Rules","Dua Lipa","2889602","2ekn2ttSfGqwhhate0LSR0",0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,"audio_features","spotify:track:2ekn2ttSfGqwhhate0LSR0","https://api.spotify.com/v1/tracks/2ekn2ttSfGqwhhate0LSR0","https://api.spotify.com/v1/audio-analysis/2ekn2ttSfGqwhhate0LSR0",209320,4
"3","Too Good At Goodbyes - Edit","Sam Smith","2535330","0mel2N9Ws9r4yLQn5QE21Y",0.653,0.378,5,-8.273,1,0.0533,0.658,0,0.177,0.54,91.835,"audio_features","spotify:track:0mel2N9Ws9r4yLQn5QE21Y","https://api.spotify.com/v1/tracks/0mel2N9Ws9r4yLQn5QE21Y","https://api.spotify.com/v1/audio-analysis/0mel2N9Ws9r4yLQn5QE21Y",201000,4
"4","Havana","Camila Cabello","2405276","0ofbQMrRDsUaVKq2mGLEAb",0.768,0.517,7,-4.323,0,0.0312,0.186,3.8e-05,0.104,0.418,104.992,"audio_features","spotify:track:0ofbQMrRDsUaVKq2mGLEAb","https://api.spotify.com/v1/tracks/0ofbQMrRDsUaVKq2mGLEAb","https://api.spotify.com/v1/audio-analysis/0ofbQMrRDsUaVKq2mGLEAb",216897,4
"5","Dusk Till Dawn - Radio Edit","ZAYN","1990766","1j4kHkkpqZRBwE0A4CN4Yv",0.258,0.437,11,-6.593,0,0.039,0.101,1.27e-06,0.106,0.0967,180.043,"audio_features","spotify:track:1j4kHkkpqZRBwE0A4CN4Yv","https://api.spotify.com/v1/tracks/1j4kHkkpqZRBwE0A4CN4Yv","https://api.spotify.com/v1/audio-analysis/1j4kHkkpqZRBwE0A4CN4Yv",239000,4
"6","1-800-273-8255","Logic","1980247","5tz69p7tJuGPeMGwNTxYuV",0.62,0.574,5,-7.788,0,0.0479,0.57,0,0.19,0.352,100.021,"audio_features","spotify:track:5tz69p7tJuGPeMGwNTxYuV","https://api.spotify.com/v1/tracks/5tz69p7tJuGPeMGwNTxYuV","https://api.spotify.com/v1/audio-analysis/5tz69p7tJuGPeMGwNTxYuV",250173,4
"7","Unforgettable","French Montana","1958352","3B54sVLJ402zGa6Xm4YGNe",0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,"audio_features","spotify:track:3B54sVLJ402zGa6Xm4YGNe","https://api.spotify.com/v1/tracks/3B54sVLJ402zGa6Xm4YGNe","https://api.spotify.com/v1/audio-analysis/3B54sVLJ402zGa6Xm4YGNe",233902,4
"8","Bestie","Yungen","1812965","638s8Qi75q1pXjuH86fJX7",0.497,0.59,1,-7.564,1,0.258,0.1,0,0.0714,0.585,99.638,"audio_features","spotify:track:638s8Qi75q1pXjuH86fJX7","https://api.spotify.com/v1/tracks/638s8Qi75q1pXjuH86fJX7","https://api.spotify.com/v1/audio-analysis/638s8Qi75q1pXjuH86fJX7",219165,4
"9","Look What You Made Me Do","Taylor Swift","1773631","6uFsE1JgZ20EXyU0JQZbUR",0.773,0.68,9,-6.378,0,0.141,0.213,1.57e-05,0.122,0.497,128.062,"audio_features","spotify:track:6uFsE1JgZ20EXyU0JQZbUR","https://api.spotify.com/v1/tracks/6uFsE1JgZ20EXyU0JQZbUR","https://api.spotify.com/v1/audio-analysis/6uFsE1JgZ20EXyU0JQZbUR",211859,4
"10","Friends (with BloodPop®)","Justin Bieber","1769350","7nZmah2llfvLDiUjm0kiyz",0.744,0.739,8,-5.35,1,0.0387,0.00459,0,0.306,0.649,104.99,"audio_features","spotify:track:7nZmah2llfvLDiUjm0kiyz","https://api.spotify.com/v1/tracks/7nZmah2llfvLDiUjm0kiyz","https://api.spotify.com/v1/audio-analysis/7nZmah2llfvLDiUjm0kiyz",189467,4
"11","Reggaetón Lento (Remix)","CNCO","1749640","3zoYkqS4y2BsGVShPL2nTE",0.527,0.907,4,-3.09,0,0.11,0.154,0,0.0993,0.664,93.813,"audio_features","spotify:track:3zoYkqS4y2BsGVShPL2nTE","https://api.spotify.com/v1/tracks/3zoYkqS4y2BsGVShPL2nTE","https://api.spotify.com/v1/audio-analysis/3zoYkqS4y2BsGVShPL2nTE",188797,4
"12","Lonely Together (feat. Rita Ora)","Avicii","1740506","2OALaHcDdKkjYEpAr0Qzab",0.655,0.666,5,-5.309,1,0.0612,0.134,2.12e-05,0.0683,0.272,102.977,"audio_features","spotify:track:2OALaHcDdKkjYEpAr0Qzab","https://api.spotify.com/v1/tracks/2OALaHcDdKkjYEpAr0Qzab","https://api.spotify.com/v1/audio-analysis/2OALaHcDdKkjYEpAr0Qzab",181812,4
"13","Sorry Not Sorry","Demi Lovato","1706189","25C5CowdsfXld2jJanbiex",0.701,0.638,11,-6.889,0,0.238,0.0252,0,0.256,0.868,144.084,"audio_features","spotify:track:25C5CowdsfXld2jJanbiex","https://api.spotify.com/v1/tracks/25C5CowdsfXld2jJanbiex","https://api.spotify.com/v1/audio-analysis/25C5CowdsfXld2jJanbiex",203760,4
